Name;StepDuration;PlanName;ResultType;ExecutionId;Timestamp;Throughput (Mbps);Jitter (ms);Packet Loss (%)
Adb iPerf Agent;0;Untitled;ADB iPerf Agent Server;[UNDEFINED_ID];1606409153851;176.0;0.006;8.0
Adb iPerf Agent;0;Untitled;ADB iPerf Agent Server;[UNDEFINED_ID];1606409154853;188.0;0.015;8.6
Adb iPerf Agent;0;Untitled;ADB iPerf Agent Server;[UNDEFINED_ID];1606409155855;180.0;0.031;11.0
Adb iPerf Agent;0;Untitled;ADB iPerf Agent Server;[UNDEFINED_ID];1606409156858;180.0;0.004;10.0
Adb iPerf Agent;0;Untitled;ADB iPerf Agent Server;[UNDEFINED_ID];1606409157860;185.0;0.017;6.3
Adb iPerf Agent;0;Untitled;ADB iPerf Agent Server;[UNDEFINED_ID];1606409158862;180.0;0.149;9.4
Adb iPerf Agent;0;Untitled;ADB iPerf Agent Server;[UNDEFINED_ID];1606409159865;177.0;0.02;8.6
Adb iPerf Agent;0;Untitled;ADB iPerf Agent Server;[UNDEFINED_ID];1606409160867;184.0;0.095;4.4
Adb iPerf Agent;0;Untitled;ADB iPerf Agent Server;[UNDEFINED_ID];1606409161869;177.0;0.021;13.0
Adb iPerf Agent;0;Untitled;ADB iPerf Agent Server;[UNDEFINED_ID];1606409162871;165.0;0.012;10.0
Adb iPerf Agent;0;Untitled;ADB iPerf Agent Server;[UNDEFINED_ID];1606409163873;152.0;0.011;22.0
Adb iPerf Agent;0;Untitled;ADB iPerf Agent Server;[UNDEFINED_ID];1606409164875;165.0;0.01;19.0
Adb iPerf Agent;0;Untitled;ADB iPerf Agent Server;[UNDEFINED_ID];1606409165881;152.0;0.015;25.0
Adb iPerf Agent;0;Untitled;ADB iPerf Agent Server;[UNDEFINED_ID];1606409166888;148.0;0.133;26.0
Adb iPerf Agent;0;Untitled;ADB iPerf Agent Server;[UNDEFINED_ID];1606409167895;159.0;0.035;24.0
Adb iPerf Agent;0;Untitled;ADB iPerf Agent Server;[UNDEFINED_ID];1606409168903;161.0;0.011;20.0
Adb iPerf Agent;0;Untitled;ADB iPerf Agent Server;[UNDEFINED_ID];1606409169909;161.0;0.06;21.0
